FID,Name,Address,City,Zipcode,ES_Home,
Libraries.fid-e93e948_1508c03aa40_2318,HC HISTORICAL SOCIETY,3725 PARK AVE,Ellicott City,21043,,
Libraries.fid-e93e948_1508c03aa40_2319,Elkridge Branch,6544 WASHINGTON BLVD,Elkridge,21075,,
Libraries.fid-e93e948_1508c03aa40_231a,Glenwood,2350 RT 97,Woodbine,21797,,
Libraries.fid-e93e948_1508c03aa40_231b,Miller Branch,9421 FREDERICK RD,Ellicott City,21042,,
Libraries.fid-e93e948_1508c03aa40_231c,Savage,9525 DURNESS LN,Laurel,20723,,
Libraries.fid-e93e948_1508c03aa40_231d,East Columbia,6600 CRADLEROCK WAY,Columbia,21045,,
Libraries.fid-e93e948_1508c03aa40_231e,Howard County Central,10375 LITTLE PATUXENT PKWY,Columbia,21044,,
,,,,,,
Elementary_School_Districts.1, ,6700 SENECA DR,Columbia,21046,Atholton ES, 
Elementary_School_Districts.2, ,8125 OLD STOCKBRIDGE DR,Ellicott City,21043,Bellows Spring ES, 
Elementary_School_Districts.3, ,8200 SAVAGE GUILFORD RD,Jessup,20794,Bollman Bridge ES, 
Elementary_School_Districts.4, ,5450 BLUE HERON LN,Columbia,21044,Bryant Woods ES, 
Elementary_School_Districts.5, ,14601 CARRS MILL RD,Glenwood,21738,Bushy Park ES, 
2.8800000008 577546.8600000519, , 1292937.0300000007 577516.7100000443, 1292953.409999999 577498.8600000419, , 1292933.5199999984 577532.805000051, 
Elementary_School_Districts.6, ,3825 CENTENNIAL LN,Ellicott City,21042,Centennial Lane ES, 
Elementary_School_Districts.7, ,3825 CENTENNIAL LN,Ellicott City,21042,Centennial Lane ES, 
Elementary_School_Districts.8, ,12041 CLARKSVILLE PK,Clarksville,21029,Clarksville ES, 
Elementary_School_Districts.9, ,10320 QUARTERSTAFF RD,Columbia,21044,Clemens Crossing ES, 
Elementary_School_Districts.10, ,6700 CRADLEROCK WAY,Columbia,21045,Cradlerock ES, 
Elementary_School_Districts.11, ,4691 TEN OAKS RD,,,Dayton Oaks ES, 
46314.325, , 1313951.190000001 546326.6250000503, 1314001.2300000004 546326.6250000458,, 1313911.3800000004 546322.5300000462, 
Elementary_School_Districts.12, ,6925 OLD WATERLOO RD,Elkridge,21075,Deep Run ES, 
Elementary_School_Districts.13, ,6925 OLD WATERLOO RD,Elkridge,21075,Deep Run ES, 
Elementary_School_Districts.14, ,7075 MONTGOMERY RD,Elkridge,21075,Elkridge ES, 
Elementary_School_Districts.15, ,9550 GORMAN RD,Laurel,20723,Forest Ridge ES, 
Elementary_School_Districts.16, ,11600 SCAGGSVILLE RD,Fulton,20759,Fulton ES, 
Elementary_School_Districts.17, ,9999 WINTER SUN RD,Laurel,20723,Gorman Crossing ES, 
Elementary_School_Districts.18, ,9999 WINTER SUN RD,Laurel,20723,Gorman Crossing ES, 
Elementary_School_Districts.19, ,7335 OAKLAND MILLS RD,Columbia,21046,Guilford ES, 
Elementary_School_Districts.20, ,8110 ALADDIN DR,Laurel,20723,Hammond ES, 
Elementary_School_Districts.21, ,8110 ALADDIN DR,Laurel,20723,Hammond ES, 
Elementary_School_Districts.22, ,8701 STONEHOUSE DR,Ellicott City,21043,Hollifield Station ES, 
Elementary_School_Districts.23, ,4981 ILCHESTER RD,Ellicott City,21043,Ilchester ES, 
Elementary_School_Districts.24, ,6001 TAMAR DR,Columbia,21045,Jeffers Hill ES, 
Elementary_School_Districts.25, ,6001 TAMAR DR,Columbia,21045,Jeffers Hill ES, 
Elementary_School_Districts.26, ,9250 NORTH LAUREL RD,Laurel,20723,Laurel Woods ES, 
Elementary_School_Districts.27, ,15901 FREDERICK RD,Woodbine,21797,Lisbon ES, 
Elementary_School_Districts.28, ,15901 FREDERICK RD,Woodbine,21797,Lisbon ES, 
600000014 619017.6450000502, , 1289185.0800000015 619033.740000052, 1289177.46 619058.9100000496, , 1289205.2700000014 619022.3250000527, 
Elementary_School_Districts.29, ,5470 HESPERUS DR,Columbia,21044,Longfellow ES, 
Elementary_School_Districts.30, ,11575 FREDERICK RD,Ellicott City,21042,Manor Woods ES, 
Elementary_School_Districts.31, ,11575 FREDERICK RD,Ellicott City,21042,Manor Woods ES, 
Elementary_School_Districts.32, ,6501 DUCKETTS LN,Elkridge,21075,Ducketts Lane ES, 
Elementary_School_Districts.33, ,9125 NORTHFIELD RD,Ellicott City,21042,Northfield ES, 
Elementary_School_Districts.34, ,5370 OLDSTONE CT,Columbia,21045,Phelps Luck ES, 
Elementary_School_Districts.35, ,6600 SOUTH TROTTER RD,Clarksville,21029,Pointers Run ES, 
Elementary_School_Districts.36, ,6145 MONTGOMERY RD,Elkridge,21075,Rockburn ES, 
Elementary_School_Districts.37, ,6145 MONTGOMERY RD,Elkridge,21075,Rockburn ES, 
Elementary_School_Districts.38, ,5215 WEST RUNNING BROOK RD,Columbia,21044,Running Brook ES, 
Elementary_School_Districts.39, ,2960 SAINT JOHNS LN,Ellicott City,21042,St Johns Lane ES, 
Elementary_School_Districts.40, ,6045 STEVENS FOREST RD,Columbia,21045,Stevens Forest ES, 
Elementary_School_Districts.41, ,5610 CEDAR LN,Columbia,21044,Swansfield ES, 
Elementary_School_Districts.42, ,9550 BASKET RING RD,Columbia,21045,Talbott Springs ES, 
Elementary_School_Districts.43, ,9550 BASKET RING RD,Columbia,21045,Talbott Springs ES, 
Elementary_School_Districts.44, ,9550 BASKET RING RD,Columbia,21045,Talbott Springs ES, 
Elementary_School_Districts.45, ,9357 MELLENBROOK RD,Columbia,21045,Thunder Hill ES, 
Elementary_School_Districts.46, ,13400 TRIADELPHIA RD,Ellicott City,21042,Triadelphia Ridge ES, 
Elementary_School_Districts.47, ,4355 MONTGOMERY RD,Ellicott City,21043,Veterans ES, 
Elementary_School_Districts.48, ,5940 WATERLOO RD,Columbia,21045,Waterloo ES, 
Elementary_School_Districts.49, ,10220 WETHERBURN RD,Ellicott City,21042,Waverly ES, 
Elementary_School_Districts.50, ,12500 FREDERICK RD,West Friendship,21794,West Friendship ES, 
476, , 1330956.780000001 590296.8450000482, 1330987.4400000018 590318.7150000448, , 1330850.7599999998 590221.2600000455, 
