FID,Name,Address,City,Zipcode,geom
Schools_Private.fid-e93e948_1508c03aa40_3b50,Beth Shalom Religious School,8070 HARRIET TUBMAN LN,Columbia,21044,POINT (1346612.4870426808 552825.8137201954)
Schools_Private.fid-e93e948_1508c03aa40_3b51,Bethel Christian Academy - Campus 2,9001 VOLLMERHAUSEN RD,Jessup,20794,POINT (1362248.3562104634 539466.5781438511)
Schools_Private.fid-e93e948_1508c03aa40_3b52,Mt. Airy Christian Academy,16700 OLD FREDERICK RD,Mount Airy,21771,POINT (1285104.1630920698 612849.4529800538)
Schools_Private.fid-e93e948_1508c03aa40_3b53,Norbel School,6135 OLD WASHINGTON RD,Elkridge,21075,POINT (1391813.8631746331 561613.6369429898)
Schools_Private.fid-e93e948_1508c03aa40_3b54,Crossroads Adventist School,3291 SAINT JOHNS LN,Ellicott City,21042,POINT (1361849.7477837326 588055.540574929)
Schools_Private.fid-e93e948_1508c03aa40_3b55,St. Louis Elementary,12500 CLARKSVILLE PK,Clarksville,21029,POINT (1328221.4785729572 560398.4958359513)
Schools_Private.fid-e93e948_1508c03aa40_3b56,"Linwood Children's Center, Inc",3421 MARTHA BUSH DR,Ellicott City,21043,POINT (1368558.192980152 586506.1771306464)
Schools_Private.fid-e93e948_1508c03aa40_3b57,Md. School For The Deaf,8169 OLD MONTGOMERY RD,Ellicott City,21043,POINT (1370488.3123445353 561119.9127022446)
Schools_Private.fid-e93e948_1508c03aa40_3b58,Woodmont Academy,2000 WOODMONT DR,Cooksville,21723,POINT (1311285.595725631 601322.294313647)
Schools_Private.fid-e93e948_1508c03aa40_3b59,Chapelgate Christian Academy,2780 MARRIOTTSVILLE RD,Marriottsville,21104,POINT (1339322.2257285367 594875.1981077346)
Schools_Private.fid-e93e948_1508c03aa40_3b5a,Faith Bible Church Academy,5810 TIMBERVIEW DR,Elkridge,21075,POINT (1383273.0484042328 562411.7317885807)
Schools_Private.fid-e93e948_1508c03aa40_3b5b,Columbia Academy,10350 OLD COLUMBIA RD,Columbia,21046,POINT (1348454.2218660414 550823.4063371615)
Schools_Private.fid-e93e948_1508c03aa40_3b5c,St. Augustine,5990 OLD WASHINGTON RD,Elkridge,21075,POINT (1392728.7309734293 562654.3502803281)
Schools_Private.fid-e93e948_1508c03aa40_3b5d,Our Lady Of Perpetual Help,4801 ILCHESTER RD,Ellicott City,21043,POINT (1377905.5898533938 572494.3007381422)
Schools_Private.fid-e93e948_1508c03aa40_3b5e,Philips School-Laurel,8920 WHISKEY BOTTOM RD,Laurel,20723,POINT (1361264.7123615337 526759.3980555804)
Schools_Private.fid-e93e948_1508c03aa40_3b5f,Glenelg Country,12793 FOLLY QUARTER RD,Ellicott City,21042,POINT (1323151.074025886 577279.6505072138)
Schools_Private.fid-e93e948_1508c03aa40_3b60,Columbia Jewish Community School,5885 ROBERT OLIVER PL,Columbia,21045,POINT (1356095.3873678874 561839.280920236)
Schools_Private.fid-e93e948_1508c03aa40_3b61,Bethel Christian Academy - Campus 1,8455 SAVAGE GUILFORD RD,Savage,20763,POINT (1362443.2704631821 536216.8366090356)
Schools_Private.fid-e93e948_1508c03aa40_3b62,The Young School,7175 RIVERWOOD DR,Columbia,21046,POINT (1347674.85751921 548511.0677324625)
Schools_Private.fid-e93e948_1508c03aa40_3b63,Trinity,4985 ILCHESTER RD,Ellicott City,21043,POINT (1379029.4197789785 568840.3901597766)
Schools_Private.fid-e93e948_1508c03aa40_3b64,Resurrection Roman Catholic,3155 PAULSKIRK DR,Ellicott City,21042,POINT (1360570.8059152937 588429.2725579945)
Schools_Private.fid-e93e948_1508c03aa40_3b65,The Julia Brown Montessori,9760 OWEN BROWN RD,Columbia,21045,POINT (1354884.636221496 559435.045805997)
Schools_Private.fid-e93e948_1508c03aa40_3b66,Atholton Adventist,6520 MARTIN RD,Columbia,21044,POINT (1349430.549113893 555711.7738494116)
